JudulBuku,Penulis,Tahun Terbit,Kategori,Jumlah Buku
Artha,Bayu permana,2018,Novel,4
Me before you,Jojo moyes,2012,Novel,4
Wali songo the wisdom: syiar 9 wali selama 1 abad,Dian noviyanti,2019,Sejarah,4
Menyerah bukan pilihan,Dwi fitriawati. dkk,2020,Kumpulan cerita,4
Hanya imajinasi,Naomi lesmana,2017,Kumpulan cerita,4
Parenting 4.0 mendidik anak di era digital,R. d. asti,2019,Ilmu pengetahuan,4
Think and grow rich,Napoleon hill,2019,Ilmu pengetahuan,4
Kamus lengkap idiom inggris - indonesia,Suwardi salim,2016,Kamus bahasa,4
Kamus bahasa inggris untuk paud,"Heru kuriawan, titi anisatul. feni n",2017,Kamus bahasa,4
Tan malaka: biografi singkat 1897 - 1949,Taufik adi susilo,2020,Biografi,4
Soekarno: sebuah biografi,Adji nugroho s.ip,2019,Biografi,4
The current state of cyber security in ireland,"Michael lang. sheamus dowling, ruth g. lennon",2023,Jurnal ilmiah,4
Music genre classification using transfer learning,"Beici liang, minwei gu",2020,Jurnal ilmiah,4
Home sweet loan,Almira bastari,2022,Novel,4
Mohammad hatta: biografi singkat 1902 - 1980,Salman alfarizi,2020,Biografi,4
Sejarah peradaban islam,"Dr. ahmadin s.ag, m.pd., s.pd",2020,Sejarah,5
Menuju sejarah sumatra: antara indonesia dan dunia ,Anthony reid,2017,Sejarah,4
